director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Claire Scanlon,Allison Janney,Ben Platt,Cynthia Addai-Robinson,Comedy,the people we hate at the wedding,Allison Janney Ben Platt Cynthia Addai-Robinson Claire Scanlon Comedy
Don Hall,Jake Gyllenhaal,Dennis Quaid,Jaboukie Young-White,Animation Family Adventure Science Fiction Fantasy,strange world,Jake Gyllenhaal Dennis Quaid Jaboukie Young-White Don Hall Animation Family Adventure Science Fiction Fantasy
Rian Johnson,Daniel Craig,Edward Norton,Janelle Monáe,Comedy Crime Mystery,glass onion: a knives out mystery,Daniel Craig Edward Norton Janelle Monáe Rian Johnson Comedy Crime Mystery
J. D. Dillard,Jonathan Majors,Glen Powell,Christina Jackson,War Drama Action,devotion,Jonathan Majors Glen Powell Christina Jackson J. D. Dillard War Drama Action
Nikyatu Jusu,Anna Diop,Michelle Monaghan,Sinqua Walls,Drama Horror,nanny,Anna Diop Michelle Monaghan Sinqua Walls Nikyatu Jusu Drama Horror
Charles Shyer,Justin Hartley,Barrett Doss,Essence Atkins,Romance Comedy Drama,the noel diary,Justin Hartley Barrett Doss Essence Atkins Charles Shyer Romance Comedy Drama
Noah Baumbach,Adam Driver,Greta Gerwig,Don Cheadle,Drama Horror Thriller,white noise,Adam Driver Greta Gerwig Don Cheadle Noah Baumbach Drama Horror Thriller
Tommy Wirkola,David Harbour,John Leguizamo,Alex Hassell,Action Comedy Crime Fantasy,violent night,David Harbour John Leguizamo Alex Hassell Tommy Wirkola Action Comedy Crime Fantasy
Antoine Fuqua,Will Smith,Ben Foster,Charmaine Bingwa,Drama War History,emancipation,Will Smith Ben Foster Charmaine Bingwa Antoine Fuqua Drama War History
Michael Showalter,Jim Parsons,Ben Aldridge,Sally Field,Romance Comedy Drama,spoiler alert,Jim Parsons Ben Aldridge Sally Field Michael Showalter Romance Comedy Drama
Luke Cormican,Hunter Dillon,Brady Noon,Ethan William Childress,Family Comedy,diary of a wimpy kid: rodrick rules,Hunter Dillon Brady Noon Ethan William Childress Luke Cormican Family Comedy
Silas Howard,Riele Downs,Auliʻi Cravalho,Chosen Jacobs,Comedy Fantasy Drama,darby and the dead,Riele Downs Auliʻi Cravalho Chosen Jacobs Silas Howard Comedy Fantasy Drama
Laure de Clermont-Tonnerre,Emma Corrin,Jack O'Connell,Matthew Duckett,Drama Romance,lady chatterley's lover,Emma Corrin Jack O'Connell Matthew Duckett Laure de Clermont-Tonnerre Drama Romance
Joanna Hogg,Tilda Swinton,Joseph Mydell,Carly-Sophia Davies,Drama Mystery,the eternal daughter,Tilda Swinton Joseph Mydell Carly-Sophia Davies Joanna Hogg Drama Mystery
Chris Soriano,Chris Soriano,Michael D'Aguilar,Peter Laboy,Drama,almighty zeus,Chris Soriano Michael D'Aguilar Peter Laboy Chris Soriano Drama
Matthew Warchus,Alisha Weir,Lashana Lynch,Stephen Graham,Family Comedy Fantasy,roald dahl's matilda the musical,Alisha Weir Lashana Lynch Stephen Graham Matthew Warchus Family Comedy Fantasy
Sam Mendes,Olivia Colman,Micheal Ward,Monica Dolan,Drama Romance,empire of light,Olivia Colman Micheal Ward Monica Dolan Sam Mendes Drama Romance
Matt Danner,Joshua Bassett,Jamie Demetriou,Alice Isaaz,Animation Comedy Family Fantasy,night at the museum: kahmunrah rises again,Joshua Bassett Jamie Demetriou Alice Isaaz Matt Danner Animation Comedy Family Fantasy
Darren Aronofsky,Brendan Fraser,Sadie Sink,Hong Chau,Drama,the whale,Brendan Fraser Sadie Sink Hong Chau Darren Aronofsky Drama
Daryl Wein,Zoey Deutch,Kendrick Sampson,Ray Nicholson,Romance Comedy Drama,something from tiffany's,Zoey Deutch Kendrick Sampson Ray Nicholson Daryl Wein Romance Comedy Drama
Edward John Drake,Paul Johansson,Bruce Willis,unknown,Action Thriller,detective knight: redemption,Paul Johansson Bruce Willis unknown Edward John Drake Action Thriller
Steven LaMorte,David Howard Thornton,Krystle Martin,Chase Mullins,Horror Comedy,the mean one,David Howard Thornton Krystle Martin Chase Mullins Steven LaMorte Horror Comedy
James Cameron,Sam Worthington,Zoe Saldaña,Sigourney Weaver,Science Fiction Adventure Action,avatar: the way of water,Sam Worthington Zoe Saldaña Sigourney Weaver James Cameron Science Fiction Adventure Action
Joel Crawford,Antonio Banderas,Salma Hayek,Harvey Guillén,Animation Adventure Fantasy Comedy Action Family,puss in boots: the last wish,Antonio Banderas Salma Hayek Harvey Guillén Joel Crawford Animation Adventure Fantasy Comedy Action Family
Damien Chazelle,Brad Pitt,Margot Robbie,Diego Calva,Drama Comedy,babylon,Brad Pitt Margot Robbie Diego Calva Damien Chazelle Drama Comedy
Kasi Lemmons,Naomi Ackie,Stanley Tucci,Ashton Sanders,Music History Drama,whitney houston: i wanna dance with somebody,Naomi Ackie Stanley Tucci Ashton Sanders Kasi Lemmons Music History Drama
Scott Cooper,Christian Bale,Harry Melling,Gillian Anderson,Thriller Crime Horror Mystery,the pale blue eye,Christian Bale Harry Melling Gillian Anderson Scott Cooper Thriller Crime Horror Mystery
Sarah Polley,Rooney Mara,Claire Foy,Jessie Buckley,Drama Crime,women talking,Rooney Mara Claire Foy Jessie Buckley Sarah Polley Drama Crime
Marc Forster,Tom Hanks,Mariana Treviño,Rachel Keller,Comedy Drama,a man called otto,Tom Hanks Mariana Treviño Rachel Keller Marc Forster Comedy Drama
Mary Nighy,Anna Kendrick,Kaniehtiio Horn,Charlie Carrick,Thriller Drama Romance,"alice, darling",Anna Kendrick Kaniehtiio Horn Charlie Carrick Mary Nighy Thriller Drama Romance
